,count,percentage,lower_bound,upper_bound,min,max,mean,median
part_1_2,0,0.0,-0.5,3.5,1.0,2.0,1.399674287241554,1.0
premis_cd,0,0.0,-499.0,1101.0,101.0,976.0,305.53347381732164,203.0
lat,30870,3.0786138558566467,33.791149999999995,34.38915000000001,33.7059,34.3343,34.074155270842226,34.0592
lon,26,0.0025929368400477103,-118.66624999999999,-118.03865000000002,-118.6676,-118.1554,-118.35466939067976,-118.323
